train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
790903,-31.101320879999967,9,91404,648,0.2129250168800354,174.80084228515625,0.1719551384449005,151.72,336.103759765625,0.0003,9972
791377,-9.344551649999996,9,91878,652,0.2160235196352005,162.57391357421875,0.2356911152601242,149.73,459.4840393066406,0.0003,10025
791883,29.33805273999998,9,92384,656,0.21703200042247772,115.97740173339844,0.09751367568969727,148.71,432.250244140625,0.0003,10080
792288,72.46425866999999,9,92789,660,0.21595805883407593,110.54539489746094,0.1366575062274933,146.94,302.69085693359375,0.0003,10126
792864,62.68844245000002,9,93365,664,0.2125646471977234,114.12799835205078,0.2726649343967438,146.34,344.9747314453125,0.0003,10189
793303,21.45153463,9,93804,668,0.21401666104793549,191.65213012695312,0.32875674962997437,147.9,285.1998291015625,0.0003,10238
793603,47.87464515000001,9,94104,672,0.2158360332250595,184.93206787109375,-0.023606330156326294,144.93,380.70965576171875,0.0003,10273
794379,69.36754251,9,94880,676,0.2164611518383026,147.65597534179688,0.13969482481479645,144.55,540.831298828125,0.0003,10355
794815,75.35270881000002,9,95316,680,0.21484524011611938,143.81826782226562,0.02229311130940914,142.3,379.1014404296875,0.0003,10404
795402,24.92107125000002,9,95903,684,0.21980240941047668,125.29174041748047,-0.010623611509799957,141.59,2019.310791015625,0.0003,10468
796085,0.7556473400000095,9,96586,688,0.2117563933134079,148.22796630859375,-0.08283895254135132,143.26,272.6987609863281,0.0003,10542
796643,0.6568487100000152,9,97144,692,0.2099064439535141,151.27333068847656,0.23453636467456818,144.08,288.19329833984375,0.0003,10602
797063,22.399452190000005,9,97564,696,0.2108914852142334,120.36796569824219,0.09107204526662827,144.06,323.6526794433594,0.0003,10650
797803,-3.947388420000001,9,98304,700,0.21513883769512177,191.40542602539062,0.14033067226409912,144.98,432.50634765625,0.0003,10729
798379,-50.41828212999999,9,98880,704,0.2104761302471161,209.0068359375,-0.17508113384246826,147.44,276.6514892578125,0.0003,10791
798876,-67.78630292,9,99377,708,0.21487565338611603,166.91351318359375,0.04382704943418503,146.17,251.41143798828125,0.0003,10846
